Game_Number,Hybrid_codestral-22b_CSS_CoT,Hybrid_codestral-22b_CSS_ZeroShot,Hybrid_codestral-22b_Random_CoT,Hybrid_codestral-22b_Random_ZeroShot,Hybrid_codestral-22b_VOI_CoT,Hybrid_codestral-22b_VOI_ZeroShot,Hybrid_gemma-27b_CSS_CoT,Hybrid_gemma-27b_CSS_ZeroShot,Hybrid_gemma-27b_Random_CoT,Hybrid_gemma-27b_Random_ZeroShot,Hybrid_gemma-27b_VOI_CoT,Hybrid_gemma-27b_VOI_ZeroShot,Hybrid_granite-8b_CSS_CoT,Hybrid_granite-8b_CSS_ZeroShot,Hybrid_granite-8b_Random_CoT,Hybrid_granite-8b_Random_ZeroShot,Hybrid_granite-8b_VOI_CoT,Hybrid_granite-8b_VOI_ZeroShot,Hybrid_llama-3.1-70b_CSS_CoT,Hybrid_llama-3.1-70b_CSS_ZeroShot,Hybrid_llama-3.1-70b_Random_CoT,Hybrid_llama-3.1-70b_Random_ZeroShot,Hybrid_llama-3.1-70b_VOI_CoT,Hybrid_llama-3.1-70b_VOI_ZeroShot,Hybrid_llama-3.1-8b_CSS_CoT,Hybrid_llama-3.1-8b_CSS_ZeroShot,Hybrid_llama-3.1-8b_Random_CoT,Hybrid_llama-3.1-8b_Random_ZeroShot,Hybrid_llama-3.1-8b_VOI_CoT,Hybrid_llama-3.1-8b_VOI_ZeroShot,Hybrid_llama-3.3-70b_CSS_CoT,Hybrid_llama-3.3-70b_CSS_ZeroShot,Hybrid_llama-3.3-70b_Random_CoT,Hybrid_llama-3.3-70b_Random_ZeroShot,Hybrid_llama-3.3-70b_VOI_CoT,Hybrid_llama-3.3-70b_VOI_ZeroShot,Hybrid_mistral-7b_CSS_CoT,Hybrid_mistral-7b_CSS_ZeroShot,Hybrid_mistral-7b_Random_CoT,Hybrid_mistral-7b_Random_ZeroShot,Hybrid_mistral-7b_VOI_CoT,Hybrid_mistral-7b_VOI_ZeroShot,Hybrid_mistral-small_CSS_CoT,Hybrid_mistral-small_CSS_ZeroShot,Hybrid_mistral-small_Random_CoT,Hybrid_mistral-small_Random_ZeroShot,Hybrid_mistral-small_VOI_CoT,Hybrid_mistral-small_VOI_ZeroShot,Hybrid_nemotron-8b_CSS_CoT,Hybrid_nemotron-8b_CSS_ZeroShot,Hybrid_nemotron-8b_Random_CoT,Hybrid_nemotron-8b_Random_ZeroShot,Hybrid_nemotron-8b_VOI_CoT,Hybrid_nemotron-8b_VOI_ZeroShot,PureLLM_codestral-22b_CoT,PureLLM_codestral-22b_ZeroShot,PureLLM_gemma-27b_CoT,PureLLM_gemma-27b_ZeroShot,PureLLM_gpt-oss-120b_CoT,PureLLM_gpt-oss-120b_ZeroShot,PureLLM_gpt-oss-20b_CoT,PureLLM_gpt-oss-20b_ZeroShot,PureLLM_granite-8b_CoT,PureLLM_granite-8b_ZeroShot,PureLLM_llama-3.1-70b_CoT,PureLLM_llama-3.1-70b_ZeroShot,PureLLM_llama-3.1-8b_CoT,PureLLM_llama-3.1-8b_ZeroShot,PureLLM_llama-3.3-70b_CoT,PureLLM_llama-3.3-70b_ZeroShot,PureLLM_mistral-7b_CoT,PureLLM_mistral-7b_ZeroShot,PureLLM_mistral-small_CoT,PureLLM_mistral-small_ZeroShot,PureLLM_nemotron-8b_CoT,PureLLM_nemotron-8b_ZeroShot,Pure_Algo_css,Pure_Algo_css_then_voi,Pure_Algo_css_voi_alternating,Pure_Algo_pure_random,Pure_Algo_random,Pure_Algo_voi,Pure_Algo_voi_css_alternating,Pure_Algo_voi_then_css
47,1.25,1.0,1.6666666666666667,1.0,1.0,1.0,1.6666666666666667,1.6666666666666667,1.25,1.6666666666666667,1.25,1.25,1.0,1.25,1.25,1.0,1.25,1.25,1.6666666666666667,1.25,1.6666666666666667,1.25,1.6666666666666667,1.25,1.6666666666666667,1.25,1.6666666666666667,1.25,1.25,1.25,1.6666666666666667,1.6666666666666667,1.25,1.25,1.6666666666666667,1.25,1.6666666666666667,1.25,1.0,0.8333333333333334,1.3333333333333333,1.25,1.25,1.25,1.5,1.0,1.25,1.6666666666666667,1.25,1.0,1.3333333333333333,0.8,1.0,1.6666666666666667,1.6666666666666667,1.0,1.6666666666666667,1.6666666666666667,1.0,1.25,1.25,1.0,1.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.25,1.25,1.6666666666666667,2.0,1.25,1.25,1.0,1.0,1.6666666666666667,1.6666666666666667,1.25,0.0,1.0,1.6666666666666667,1.25,1.0
48,1.25,1.3333333333333333,1.6666666666666667,1.25,1.6666666666666667,1.25,1.25,1.25,0.8333333333333334,1.25,1.25,0.8333333333333334,1.25,1.0,1.25,1.0,1.0,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.0,1.25,1.3333333333333333,1.0,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,1.25,1.0,0.8,1.25,0.8333333333333334,1.25,1.3333333333333333,1.25,1.25,1.25,1.25,1.25,1.0,1.25,1.25,1.25,1.6666666666666667,1.25,1.3333333333333333,1.25,1.0,1.25,1.25,1.25,1.0,1.3333333333333333,1.0,1.0,1.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,1.0,0.8,1.0,1.0,1.6666666666666667,2.5,1.6666666666666667,0.0,1.25,1.25,1.25,1.25
49,0.8333333333333334,1.25,1.0,0.6,1.25,1.25,1.6666666666666667,0.8333333333333334,1.0,1.0,1.0,1.25,0.8333333333333334,0.8,1.0,1.0,1.25,1.25,1.25,1.0,1.0,1.25,1.25,1.0,1.6666666666666667,1.25,0.8333333333333334,1.25,1.0,1.25,1.25,1.25,1.0,1.0,1.25,1.0,1.25,0.6,0.6666666666666666,0.8333333333333334,1.0,1.6666666666666667,1.25,1.6666666666666667,1.0,1.3333333333333333,0.8333333333333334,1.6666666666666667,1.0,1.25,1.3333333333333333,0.8333333333333334,1.6666666666666667,1.25,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.25,0.8333333333333334,1.0,0.8333333333333334,1.0,1.0,1.3333333333333333,1.6666666666666667,0.1666666666666666,1.0,1.25,0.8,1.25
50,1.0,1.25,1.6666666666666667,1.25,1.0,1.6666666666666667,1.25,1.6666666666666667,1.25,1.25,0.8,1.0,1.25,1.25,1.0,1.3333333333333333,1.25,1.6666666666666667,1.0,1.0,1.3333333333333333,0.6666666666666666,0.8,1.0,1.25,0.8,0.8,1.0,1.3333333333333333,1.0,1.0,1.0,1.0,1.3333333333333333,0.8,1.0,0.8,1.6666666666666667,1.3333333333333333,1.25,0.8,0.8333333333333334,1.25,1.25,1.25,1.25,1.0,1.25,1.25,1.0,0.6,1.25,1.25,1.25,1.6666666666666667,1.0,1.0,1.25,1.3333333333333333,1.6666666666666667,1.0,1.25,1.25,1.6666666666666667,1.0,1.0,1.0,1.25,1.25,1.0,1.25,1.0,1.6666666666666667,1.25,0.6,0.6,1.6666666666666667,1.3333333333333333,1.25,0.0,1.25,1.25,1.25,1.25
51,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.6666666666666667,1.25,1.6666666666666667,1.25,2.5,1.6666666666666667,1.25,1.25,1.0,1.6666666666666667,1.0,1.6666666666666667,1.0,1.0,1.25,1.0,1.25,1.0,1.6666666666666667,1.25,1.6666666666666667,1.0,1.0,1.6666666666666667,1.0,1.25,1.25,1.25,1.25,1.25,1.25,1.0,1.0,0.8,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.25,0.8333333333333334,0.75,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.25,0.75,1.3333333333333333,1.3333333333333333,1.0,0.5,1.0,2.5,0.8333333333333334,1.6666666666666667,0.8333333333333334,1.0,1.25,1.25,1.25,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.25,1.6666666666666667,1.0,1.25,0.8333333333333334,1.25,1.25,0.8333333333333334,1.6666666666666667,0.75,0.8333333333333334,-0.3333333333333333,1.25,1.3333333333333333,1.0,0.6
52,1.25,1.25,1.25,1.0,1.0,1.0,1.6666666666666667,1.0,1.25,1.6666666666666667,1.0,1.6666666666666667,0.6666666666666666,1.25,1.3333333333333333,1.25,1.3333333333333333,1.0,1.0,1.25,1.25,1.6666666666666667,1.25,1.0,1.0,1.25,1.6666666666666667,1.25,1.25,1.25,1.0,1.25,1.25,1.25,1.0,1.25,1.6666666666666667,1.0,1.25,1.0,2.0,1.25,1.0,2.0,1.25,1.0,0.8,2.0,1.25,1.0,1.25,0.8333333333333334,1.25,1.0,1.6666666666666667,1.6666666666666667,1.25,1.6666666666666667,1.0,1.6666666666666667,1.25,1.25,1.0,1.6666666666666667,1.0,1.0,1.25,2.0,1.25,1.0,1.0,1.25,1.25,1.25,1.6666666666666667,1.0,1.3333333333333333,1.0,1.6666666666666667,0.0,1.0,1.6666666666666667,1.6666666666666667,1.25
53,1.6666666666666667,1.25,1.0,1.0,1.0,1.0,1.0,1.3333333333333333,1.25,1.3333333333333333,1.0,1.3333333333333333,0.8,1.0,1.0,0.8,1.0,1.6666666666666667,1.0,1.6666666666666667,1.25,1.25,1.25,1.25,1.25,1.0,1.3333333333333333,1.6666666666666667,1.0,1.25,1.25,1.6666666666666667,1.25,0.8333333333333334,1.25,1.25,1.0,1.3333333333333333,1.3333333333333333,1.0,1.0,1.0,1.6666666666666667,1.6666666666666667,1.0,1.25,1.25,1.6666666666666667,1.3333333333333333,1.0,1.0,1.6666666666666667,1.3333333333333333,1.0,1.6666666666666667,1.6666666666666667,1.25,1.25,1.25,1.25,1.25,1.0,1.25,1.0,1.25,1.25,0.8333333333333334,1.25,1.3333333333333333,1.25,1.0,1.0,0.8,1.0,0.6666666666666666,1.25,2.5,1.0,1.6666666666666667,0.0,1.25,1.25,1.3333333333333333,1.6666666666666667
54,1.25,1.25,1.6666666666666667,0.8333333333333334,1.0,1.25,1.3333333333333333,1.25,1.0,1.25,1.0,1.25,1.6666666666666667,1.25,1.25,1.6666666666666667,1.0,1.0,1.6666666666666667,1.6666666666666667,1.25,1.6666666666666667,1.25,1.25,1.6666666666666667,1.25,1.6666666666666667,1.6666666666666667,1.25,1.25,1.25,1.6666666666666667,1.25,1.25,1.25,1.25,1.25,1.0,1.25,1.25,1.0,1.25,1.25,1.25,1.6666666666666667,1.6666666666666667,1.0,1.25,1.25,1.0,1.25,0.8333333333333334,1.6666666666666667,1.0,1.25,1.0,1.25,1.25,1.0,1.0,1.0,1.25,1.25,1.6666666666666667,1.25,1.25,1.25,1.6666666666666667,1.25,1.0,1.25,1.6666666666666667,1.0,1.0,0.6,1.0,2.5,1.0,1.6666666666666667,-0.5,1.6666666666666667,1.25,1.0,1.0
55,1.6666666666666667,1.25,1.0,1.25,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,1.6666666666666667,1.0,0.8,1.0,1.25,1.0,1.25,1.6666666666666667,1.0,0.8,1.3333333333333333,0.8,1.3333333333333333,1.3333333333333333,1.0,0.8,0.8,1.3333333333333333,1.25,1.3333333333333333,0.8,0.6666666666666666,1.0,0.8,0.8,1.3333333333333333,1.0,0.8,0.5,1.6666666666666667,0.8,1.6666666666666667,0.8333333333333334,0.8333333333333334,1.0,0.8,1.25,1.0,1.0,0.5,0.3333333333333333,1.25,0.8,1.0,0.75,0.6666666666666666,1.25,1.5,0.6,0.6666666666666666,1.3333333333333333,0.8333333333333334,1.0,1.25,0.8,1.0,1.0,1.25,1.0,0.8,1.0,1.0,0.6666666666666666,0.8,0.8,1.0,1.3333333333333333,1.0,1.0,0.0,1.25,1.3333333333333333,1.0,0.5
56,0.8,1.25,0.8333333333333334,0.8,0.6666666666666666,0.6666666666666666,0.6,0.8333333333333334,0.5,0.6666666666666666,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.8333333333333334,0.1666666666666666,0.8333333333333334,0.6666666666666666,1.25,0.6666666666666666,0.6666666666666666,1.25,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.25,0.8333333333333334,0.6666666666666666,0.6666666666666666,1.25,0.6666666666666666,1.25,1.25,0.6666666666666666,1.6666666666666667,0.8333333333333334,1.25,1.0,1.25,1.0,1.0,0.6666666666666666,0.8,0.3333333333333333,1.0,0.6666666666666666,0.5,0.6,1.0,0.8333333333333334,2.5,1.0,0.3333333333333333,0.5,1.0,0.5,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.25,1.25,0.6666666666666666,0.6666666666666666,0.8,0.6,1.6666666666666667,1.6666666666666667,0.1666666666666666,1.0,1.6666666666666667,0.5,0.8
57,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.25,0.3333333333333333,1.0,1.25,1.0,1.0,1.25,1.0,1.0,1.6666666666666667,1.0,0.5,1.0,1.25,1.0,0.8333333333333334,0.5,0.8333333333333334,0.6666666666666666,1.0,0.8333333333333334,1.0,1.0,0.6666666666666666,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,0.5,1.25,0.8333333333333334,0.8333333333333334,1.0,1.0,0.8,0.6666666666666666,0.6666666666666666,0.8333333333333334,1.0,1.0,0.8333333333333334,1.25,1.0,1.0,0.8,1.0,1.6666666666666667,0.75,1.0,0.5,0.8333333333333334,1.0,0.8333333333333334,1.6666666666666667,0.5,1.0,0.6,0.6666666666666666,0.8333333333333334,1.0,1.0,0.6666666666666666,0.5,1.25,1.0,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,1.25,0.6666666666666666,1.6666666666666667,0.6,1.25,0.0,0.6666666666666666,1.0,0.8,2.0
58,1.0,1.6666666666666667,1.6666666666666667,1.0,1.6666666666666667,1.0,1.6666666666666667,1.25,1.6666666666666667,1.25,1.6666666666666667,1.0,0.6,1.0,1.6666666666666667,1.0,0.6,1.0,2.0,2.0,2.0,0.8,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.8333333333333334,1.3333333333333333,2.0,2.0,1.25,2.0,1.25,1.3333333333333333,1.0,1.25,1.0,2.5,1.0,1.6666666666666667,1.0,1.25,1.0,0.5,1.25,1.25,1.25,1.25,1.0,1.0,1.25,1.25,1.6666666666666667,1.25,1.3333333333333333,0.8,1.0,1.0,2.0,1.3333333333333333,1.0,1.3333333333333333,2.0,1.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,0.8,0.8,1.6666666666666667,2.0,0.8,1.3333333333333333,0.3333333333333333,1.0,1.6666666666666667,1.25,0.8
59,1.6666666666666667,1.0,1.6666666666666667,1.25,1.25,0.6,1.0,1.25,1.0,1.25,1.25,1.25,1.25,1.25,1.25,0.6666666666666666,1.25,0.5,1.0,1.25,0.8333333333333334,0.8333333333333334,1.25,1.25,1.6666666666666667,1.0,1.25,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.25,1.0,1.0,1.25,1.0,1.25,1.25,1.0,0.8333333333333334,1.25,1.0,1.25,1.0,1.0,1.25,1.25,1.25,0.8333333333333334,1.0,1.25,0.6666666666666666,1.25,1.0,1.0,1.25,1.0,1.0,1.25,1.6666666666666667,0.8333333333333334,1.0,1.3333333333333333,1.25,1.25,1.25,1.25,1.25,1.25,1.0,1.25,0.8333333333333334,0.6,1.0,1.0,0.8,1.0,1.25,0.8,1.0,0.0,1.3333333333333333,1.25,1.0,0.6
60,1.0,1.25,1.0,0.6666666666666666,1.25,1.0,1.25,1.25,1.0,1.6666666666666667,1.25,1.6666666666666667,1.3333333333333333,1.0,1.3333333333333333,1.0,1.3333333333333333,1.0,1.6666666666666667,1.25,1.25,1.25,1.0,1.0,0.8,1.25,1.0,1.25,1.3333333333333333,1.0,1.25,1.25,1.25,1.0,1.0,1.0,1.25,1.25,1.6666666666666667,0.8333333333333334,1.3333333333333333,1.6666666666666667,1.0,1.25,0.8333333333333334,1.25,1.0,1.6666666666666667,1.25,1.6666666666666667,1.0,0.8333333333333334,1.25,1.25,1.25,1.6666666666666667,0.8,1.0,0.8333333333333334,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0,1.3333333333333333,1.25,1.25,1.25,1.25,1.25,1.6666666666666667,1.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.25,1.6666666666666667,1.25,0.8333333333333334,1.0,0.0,1.3333333333333333,1.0,1.6666666666666667,1.25
61,2.0,1.0,1.25,1.0,1.25,0.8333333333333334,1.25,1.0,1.25,1.25,1.0,1.0,1.25,1.0,0.8333333333333334,,1.25,1.0,1.6666666666666667,1.6666666666666667,1.25,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.25,1.25,1.25,1.25,1.25,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.25,1.25,1.6666666666666667,1.25,1.6666666666666667,1.25,1.0,1.3333333333333333,1.25,1.0,1.3333333333333333,1.0,1.6666666666666667,1.0,1.0,1.6666666666666667,1.25,1.25,1.0,1.0,1.6666666666666667,1.25,1.0,1.0,1.0,2.0,1.0,1.6666666666666667,1.0,1.25,0.8333333333333334,1.25,1.6666666666666667,1.25,1.25,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.25,1.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.25,1.0,-0.1666666666666666,1.3333333333333333,1.3333333333333333,1.25,1.3333333333333333
62,1.3333333333333333,1.25,1.0,1.25,1.6666666666666667,1.25,1.6666666666666667,1.6666666666666667,1.25,1.25,1.25,1.25,1.0,1.6666666666666667,1.0,1.25,1.0,1.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.75,1.25,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.3333333333333333,1.6666666666666667,1.0,1.0,1.25,1.25,1.0,1.25,1.0,0.75,1.25,1.6666666666666667,1.0,1.0,1.25,1.0,1.0,1.3333333333333333,1.0,1.25,1.3333333333333333,1.0,0.8,1.0,1.25,1.25,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.25,1.0,1.0,1.25,1.3333333333333333,1.5,1.0,1.3333333333333333,-0.1666666666666666,1.25,1.0,1.3333333333333333,1.6666666666666667
63,1.25,0.8333333333333334,1.25,1.0,0.8333333333333334,1.25,1.25,1.0,1.0,1.0,1.25,1.0,0.8333333333333334,1.25,0.8333333333333334,0.6666666666666666,0.8333333333333334,1.0,1.25,1.25,1.6666666666666667,1.0,1.0,1.25,1.25,0.8333333333333334,1.25,1.25,1.25,0.6666666666666666,1.0,1.25,1.0,1.25,1.25,1.25,1.0,1.0,1.0,0.5,0.8333333333333334,0.8333333333333334,1.25,1.0,1.0,1.0,1.25,1.3333333333333333,1.0,1.25,1.25,0.6666666666666666,1.25,0.75,1.25,1.0,1.0,1.0,1.6666666666666667,0.8333333333333334,0.6666666666666666,1.0,0.8,1.25,1.25,1.25,1.25,1.0,1.25,1.0,1.25,0.5,1.0,1.0,1.0,1.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.0,1.3333333333333333,1.25,1.25,1.25
64,1.3333333333333333,1.6666666666666667,1.0,0.75,0.1666666666666666,1.0,1.0,0.75,1.6666666666666667,0.75,1.0,1.5,1.6666666666666667,1.25,1.6666666666666667,0.8333333333333334,1.3333333333333333,1.25,0.8,0.8,0.6666666666666666,0.6666666666666666,0.8,1.0,0.8333333333333334,1.0,0.6666666666666666,1.3333333333333333,0.8,0.8,0.8,1.0,0.8,0.8,0.6666666666666666,0.6666666666666666,1.25,1.6666666666666667,1.0,0.6666666666666666,1.25,1.0,1.0,0.5,1.25,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,1.25,1.6666666666666667,2.0,1.25,0.6,1.0,1.0,1.25,1.25,0.8333333333333334,0.3333333333333333,1.6666666666666667,1.25,0.8,1.3333333333333333,1.0,2.0,1.0,1.3333333333333333,1.6666666666666667,1.0,0.8,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.0,1.0,1.0,0.1666666666666666,1.0,1.25,0.75,1.0
65,1.25,1.0,1.3333333333333333,1.0,1.0,1.0,1.25,1.3333333333333333,1.25,1.3333333333333333,1.25,1.3333333333333333,1.25,1.5,1.3333333333333333,1.6666666666666667,1.0,1.0,1.6666666666666667,1.0,0.8333333333333334,1.0,1.6666666666666667,0.8333333333333334,1.0,1.25,1.25,0.8333333333333334,1.0,1.25,1.25,1.0,1.0,1.25,1.0,1.25,1.25,1.25,1.25,1.0,0.8333333333333334,1.6666666666666667,1.0,1.6666666666666667,1.25,1.25,1.25,1.25,1.0,1.25,1.0,1.0,1.6666666666666667,1.25,1.0,1.0,1.25,1.0,0.8333333333333334,1.0,1.25,1.3333333333333333,1.25,1.6666666666666667,1.25,1.25,1.0,1.25,1.0,1.0,1.3333333333333333,2.5,1.0,1.0,1.25,0.8,2.0,1.0,0.75,0.0,1.25,1.6666666666666667,1.25,1.25
66,1.25,1.3333333333333333,1.25,0.8,1.25,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.25,1.25,1.25,1.0,0.8,1.6666666666666667,1.0,1.0,1.0,2.0,1.25,1.6666666666666667,1.0,1.6666666666666667,1.25,1.25,1.3333333333333333,1.25,1.0,0.8333333333333334,1.25,1.25,1.25,1.25,1.25,1.0,1.25,1.25,1.6666666666666667,1.25,1.25,1.25,1.0,1.0,1.25,1.0,1.0,1.0,1.6666666666666667,1.0,2.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.0,0.8,1.25,1.25,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.25,1.25,0.8,1.3333333333333333,1.0,1.25,0.8,1.0,1.25,1.0,1.0,1.25,2.0,1.25,1.3333333333333333,0.1666666666666666,0.8,1.25,1.0,1.3333333333333333
67,0.8333333333333334,0.8333333333333334,1.0,1.0,0.8333333333333334,0.3333333333333333,1.25,1.25,1.25,0.8333333333333334,1.25,1.0,1.0,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.3333333333333333,1.6666666666666667,1.25,1.25,0.8333333333333334,1.0,1.25,1.0,0.8333333333333334,0.8333333333333334,1.0,1.0,1.25,0.8333333333333334,1.0,0.8333333333333334,1.25,1.25,1.25,1.0,1.0,0.8333333333333334,1.0,1.0,0.8333333333333334,1.0,1.25,0.8333333333333334,1.0,1.0,1.0,1.25,1.25,1.0,1.0,1.0,0.8,1.0,0.8333333333333334,0.8333333333333334,1.25,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,1.25,1.0,0.8333333333333334,0.8333333333333334,1.0,1.0,1.25,0.8333333333333334,0.8,1.0,1.25,0.8333333333333334,0.8,1.0,0.75,0.0,1.25,1.25,1.0,1.0
68,0.8,1.0,0.8333333333333334,0.6666666666666666,1.0,0.8,1.0,1.0,0.8333333333333334,1.25,0.6666666666666666,1.0,0.8333333333333334,1.25,0.8333333333333334,1.25,1.0,0.6666666666666666,1.0,1.25,0.8333333333333334,1.0,0.8333333333333334,1.25,0.8333333333333334,1.25,2.5,1.0,0.6666666666666666,0.8333333333333334,1.0,1.0,1.25,1.0,0.6666666666666666,1.0,0.8333333333333334,1.0,1.6666666666666667,0.8333333333333334,0.6666666666666666,0.5,1.25,0.8333333333333334,1.0,0.8333333333333334,1.0,1.6666666666666667,0.8,0.8333333333333334,0.8333333333333334,1.0,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,1.0,0.6666666666666666,2.0,1.0,0.6666666666666666,1.3333333333333333,1.0,1.0,1.25,1.0,1.0,1.25,1.25,0.6666666666666666,0.8,0.6666666666666666,0.8,0.1666666666666666,0.6666666666666666,2.0,0.6666666666666666,1.0
69,1.0,1.25,1.6666666666666667,0.8333333333333334,0.8333333333333334,1.25,0.5,1.6666666666666667,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.25,1.25,1.6666666666666667,1.0,1.0,1.0,1.25,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,1.25,1.25,0.6666666666666666,1.0,1.6666666666666667,0.6666666666666666,1.6666666666666667,0.6666666666666666,0.5,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,1.25,1.25,1.25,0.8333333333333334,1.0,0.8333333333333334,1.0,1.25,1.25,1.25,0.6666666666666666,0.3333333333333333,1.25,1.0,1.6666666666666667,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.25,1.25,1.0,1.25,1.6666666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.0,1.6666666666666667,1.0,1.0,2.5,0.6666666666666666,1.0,0.0,0.6666666666666666,1.25,1.6666666666666667,1.0
70,1.6666666666666667,1.25,1.25,1.0,1.0,0.75,1.6666666666666667,1.0,1.25,1.25,1.25,1.0,1.25,1.25,1.25,1.0,1.25,2.0,1.3333333333333333,1.3333333333333333,1.0,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,1.0,1.0,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.25,1.25,1.25,1.0,1.6666666666666667,1.0,1.25,1.0,1.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.25,1.0,1.3333333333333333,1.6666666666666667,1.25,1.6666666666666667,1.3333333333333333,1.25,1.25,0.8,1.25,1.25,1.25,1.3333333333333333,1.25,2.0,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,1.0,1.0,0.6,1.25,1.25,2.0,1.25,1.25,0.3333333333333333,0.6,1.25,1.25,1.25
71,1.0,1.25,1.6666666666666667,1.25,1.0,1.0,1.0,1.25,0.6666666666666666,0.8333333333333334,1.0,1.0,1.25,1.0,1.0,1.3333333333333333,1.3333333333333333,1.25,1.6666666666666667,1.25,1.6666666666666667,1.25,1.25,1.6666666666666667,0.8333333333333334,1.6666666666666667,0.8,1.25,1.25,1.6666666666666667,1.25,1.6666666666666667,1.0,1.0,1.25,1.6666666666666667,0.8333333333333334,1.0,0.8333333333333334,1.25,1.25,0.8333333333333334,1.6666666666666667,1.0,1.5,1.6666666666666667,1.25,1.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.0,1.25,1.3333333333333333,1.25,1.25,1.0,1.25,1.0,1.25,1.25,1.25,1.0,1.0,1.0,1.0,0.8,0.8333333333333334,1.6666666666666667,1.0,1.0,1.3333333333333333,1.6666666666666667,1.25,1.0,1.0,1.6666666666666667,1.0,1.25,0.1666666666666666,1.0,1.25,1.0,1.0
